device,event,n_student_params,run_name,teacher_cache_dir,teacher_cache_load_workers,teacher_cache_mode,teacher_cache_prefetch,run,loss_type,optimizer,beta,grad_norm,loss,lr,seconds,step,tokens_seen,train_loss_hard_teacher_margin,update_norm,ce_grad_signal_norm_beta,centered_logit_mse,distill_eval_loss,hard_teacher_margin,hard_teacher_xent,hard_xent,kernel_effective_rank,kernel_overlap_initial,kernel_overlap_teacher_target,kl_beta_prime_1,log_softmax_mse,logit_mse,student_effective_support_beta,student_entropy_beta,student_entropy_beta_prime_1,student_fisher_trace_beta,student_fisher_trace_beta_prime_1,student_teacher_argmax_acc,student_top1_conf_beta,student_true_acc,teacher_effective_support_beta,teacher_entropy_beta,teacher_entropy_beta_prime_1,teacher_fisher_trace_beta,teacher_margin,teacher_top1_conf_beta,teacher_true_acc,xent_beta_prime_1,path,train_kl_beta,train_loss_temp_xent,train_loss_temp_xent_unscaled,distill_eval_loss_unscaled,kl_beta,train_loss_centered_logit_mse,train_loss_raw_logit_mse,beta_label,condition
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,14.345995285075299,0.5267200469970703,0.0009823391542615816,42.54191303253174,270.0,555008.0,0.5267200469970703,0.8416407880304919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,22.02491769086204,0.5711583495140076,0.0009802161016904609,44.6391716003418,280.0,575488.0,0.5711583495140076,0.7879046286663853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,12.538098648535287,0.4058316946029663,0.0009779754323328191,45.54567885398865,290.0,595968.0,0.4058316946029663,0.74716298766534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,17.2488313912181,0.42898207902908325,0.0009756177587652855,47.49014115333557,300.0,616448.0,0.42898207902908325,0.6270239578274447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,eval,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,,,,47.492401123046875,300.0,,,,1.306490182876587,10769.5751953125,0.46804115176200867,0.46804115176200867,9.273598670959473,10.256797790527344,,,,6.232231140136719,11036.583984375,2417535.75,1.0,0.0,10.748929023742676,0.0,0.9999761581420898,0.076171875,1.0,0.0048828125,1.0,0.0,4.11316442489624,0.0,1.2421875,1.0,0.14453125,10.345394134521484,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,21.7838464703371,0.8912248015403748,0.0009731437255522725,48.49180245399475,310.0,636928.0,0.8912248015403748,0.6926940368480876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,10.02692894414848,0.8121060729026794,0.0009705540090697574,50.175004720687866,320.0,657408.0,0.8121060729026794,0.6866686689013788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,14.461632208008396,0.43486201763153076,0.0009678493173203682,51.0266900062561,330.0,677888.0,0.43486201763153076,0.7326666693777772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,17.88499374277351,0.4883754551410675,0.0009650303897398232,52.65773367881775,340.0,698368.0,0.4883754551410675,0.630834322129647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,12.426595244438266,0.4637886583805084,0.0009620979969947759,54.359432220458984,350.0,718848.0,0.4637886583805084,0.6432421572318584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,14.954521179952339,0.40613996982574463,0.0009590529407721231,55.82180905342102,360.0,739328.0,0.40613996982574463,0.710147412494636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,16.228896098917726,0.5517469048500061,0.0009558960535598316,56.683348178863525,370.0,759808.0,0.5517469048500061,0.5757512971297654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,11.389465550695103,0.4738854169845581,0.0009526281984193435,58.647337198257446,380.0,780288.0,0.4738854169845581,0.606492279197071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,14.673009309781632,0.4891858398914337,0.0009492502687496253,59.468449115753174,390.0,800768.0,0.4891858398914337,0.708106881518595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,15.209532419096242,0.5580364465713501,0.0009457631880429201,60.99809169769287,400.0,821248.0,0.5580364465713501,0.6404734022610212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,eval,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,,,,61.000328540802,400.0,,,,1.3672573566436768,10768.5673828125,0.6099520921707153,0.6099520921707153,8.676828384399414,9.806647300720215,3.207261085510254,0.9664744714771663,0.9999982714643014,5.831015110015869,11034.2998046875,2417431.25,1.0,0.0,10.678544998168945,0.0,0.9999688863754272,0.033203125,1.0,0.005859375,1.0,0.0,4.11316442489624,0.0,1.2421875,1.0,0.14453125,9.944178581237793,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,18.12891616598698,0.4695110321044922,0.0009421679096322747,64.49866557121277,410.0,841728.0,0.4695110321044922,0.5973783816948475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,13.071103167031536,0.31412094831466675,0.0009384654164309083,65.22292971611023,420.0,862208.0,0.31412094831466675,0.6791093143178946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,6.540769854566166,0.43431293964385986,0.0009346567206634926,66.27724266052246,430.0,882688.0,0.43431293964385986,0.7861858902822438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
